id,difficulty
0,A1
1,B1
2,A1
3,A1
4,C2
5,C2
6,A2
7,B1
8,C1
9,A1
10,A1
11,A2
12,B2
13,A1
14,A1
15,A2
16,B2
17,A1
18,A1
19,A1
20,C2
21,A1
22,B2
23,B2
24,A1
25,C2
26,A1
27,A1
28,B1
29,A1
30,A1
31,A2
32,A1
33,A1
34,A1
35,A1
36,A2
37,A1
38,A1
39,A1
40,B1
41,B2
42,A1
43,C1
44,C2
45,B1
46,B2
47,B1
48,A1
49,A1
50,C2
51,A1
52,C1
53,A1
54,A1
55,C1
56,C1
57,C1
58,B2
59,A2
60,A1
61,A2
62,C2
63,C1
64,A1
65,B2
66,C1
67,A1
68,A1
69,B2
70,A1
71,B2
72,B2
73,A2
74,B1
75,A2
76,A1
77,C1
78,A1
79,A1
80,A1
81,A1
82,B2
83,B2
84,A1
85,C2
86,A1
87,B2
88,B2
89,C2
90,C1
91,A2
92,A2
93,B2
94,B2
95,A2
96,A1
97,A1
98,C1
99,C1
100,B1
101,B2
102,A1
103,A2
104,B1
105,C2
106,A1
107,A1
108,A2
109,B2
110,B2
111,A1
112,C1
113,C1
114,C2
115,A1
116,B2
117,A2
118,A2
119,B2
120,A1
121,B1
122,A1
123,B2
124,A2
125,C2
126,B2
127,A1
128,C1
129,B2
130,A1
131,A1
132,A2
133,A1
134,B2
135,C2
136,A1
137,B1
138,A2
139,A2
140,A1
141,B2
142,C2
143,C2
144,B2
145,C1
146,A1
147,B2
148,A1
149,A2
150,B2
151,A1
152,A1
153,A1
154,A2
155,A2
156,B2
157,A1
158,A1
159,A1
160,B1
161,A1
162,B2
163,B2
164,C2
165,C1
166,A1
167,A1
168,B1
169,A1
170,A1
171,A1
172,A1
173,A1
174,A2
175,B2
176,B1
177,C1
178,A2
179,B1
180,A1
181,A2
182,B2
183,A2
184,B2
185,B1
186,A2
187,A2
188,C2
189,A1
190,A1
191,C1
192,C1
193,B1
194,A1
195,A1
196,C1
197,A1
198,B2
199,A1
200,B2
201,C1
202,A1
203,A1
204,A2
205,A1
206,A1
207,A2
208,A1
209,A1
210,A1
211,A1
212,A1
213,C1
214,C1
215,A1
216,B1
217,B2
218,A1
219,B2
220,B2
221,C2
222,A1
223,B1
224,A1
225,B2
226,A2
227,B1
228,A1
229,A1
230,A1
231,B1
232,C2
233,A1
234,A2
235,C1
236,B1
237,A1
238,C2
239,A1
240,B1
241,C2
242,A1
243,A1
244,A1
245,A1
246,B2
247,B1
248,A1
249,B1
250,B1
251,B2
252,A1
253,B2
254,C2
255,C2
256,A2
257,A1
258,A1
259,C2
260,A1
261,A1
262,A1
263,A1
264,A2
265,A1
266,A2
267,B1
268,B2
269,C2
270,A1
271,A1
272,B1
273,C2
274,B1
275,A1
276,B2
277,C2
278,B1
279,B1
280,A1
281,B2
282,C2
283,A1
284,A2
285,B2
286,A1
287,C2
288,B2
289,B1
290,B2
291,B1
292,A1
293,A2
294,C1
295,B2
296,A1
297,B2
298,A1
299,A1
300,B2
301,A1
302,C2
303,A1
304,A1
305,A1
306,B2
307,B2
308,A2
309,A1
310,C2
311,A1
312,B2
313,B1
314,A1
315,C2
316,B1
